index,mean,stdev,tail99
0,0.3773689004554327,0.09372415482721262,0.386
2,0.37801740644038295,0.10817270806905596,0.386
4,0.3801372328458943,0.12121662625639185,0.388
6,0.38206308724832216,0.1345643232577811,0.392
8,0.3830844720496895,0.12902910382800917,0.391
9,0.38364142011834323,0.12641050977904744,0.392
10,0.3838593155893536,0.13084615616461578,0.392
11,0.38210669693530075,0.12292816932366164,0.392
12,0.3845634365634366,0.11801373217044459,0.41
13,0.38663710618436403,0.1275890433802697,0.414
14,0.39138378378378375,0.12134190585042212,0.48
15,0.39366577181208057,0.13561714655296875,0.487
16,0.39310624315443593,0.12388619081348828,0.501
17,0.4143121098626717,0.14397988472928983,0.742
18,0.42227067669172935,0.15766737271337744,0.739
19,0.4619841269841271,0.17459996258360008,0.87
20,0.5105757575757575,0.2112500254795694,1.057
21,0.6265320121951219,0.294275664400144,1.425
22,1.0027800586510263,0.3570424640393202,1.477
23,1.2517358490566037,0.3452809056539107,1.483
