index, mean, stdev, tail99
0,0.3645681761320991,0.04579042738860738,0.371
1,0.3780493827160493,0.10578886640591657,0.409
2,0.39147796610169494,0.09782818341004591,0.446
3,0.4047536071032186,0.09751431950840023,0.465
4,0.4202848392036753,0.11309700548277202,0.499
5,0.443937984496124,0.11576409800380869,0.529
6,0.46392719167904906,0.11739129163927539,0.589
7,0.4794964936886395,0.11399639669285178,0.622
8,0.504770197486535,0.1290682295262123,0.673
9,0.5423500967117988,0.1370317956615703,0.719
10,0.5701184919210055,0.1407709229422757,0.793
11,0.6115555555555555,0.14438538603717696,0.864
12,0.6601273031825796,0.14833350267220563,0.995
13,0.713649885583524,0.17122074443181687,1.026
14,0.7875994065281899,0.2139451309333608,1.23
15,0.8956397306397306,0.22820217018106623,1.323
16,0.8519731903485254,0.26335156642521657,1.247
17,1.0930393013100437,0.3359238622815695,2.0
18,1.273058536585366,0.3425384813529927,2.087
19,1.560356807511737,0.48951964997523206,3.099
20,1.9565365853658538,0.756333617753725,5.115
21,2.468860465116279,0.8565820826114369,5.976
22,4.973817204301075,0.9639191500722741,6.49
23,5.2391228070175435,0.8112946350854517,7.205
