index,mean,stdev
1,0.9335845534615672,0.00131131419820353
2,1.8547430365499855,0.0018428717476045625
3,2.7435495985937943,0.002241207448704726
4,3.441118729272921,0.0024147675944078957
5,4.796565809389921,0.003005032627889194
6,5.812656464489995,0.003319997632758338
7,6.687158002329086,0.003542878422674538
8,7.593316385852871,0.003762426126731263
9,8.583782731495901,0.003982109770478653
10,7.010814920100454,0.0031011191722716894
11,10.903969911905138,0.004593564522709926
12,12.097711293108473,0.0048210444177917726
14,13.51804154039485,0.004970448851806079
15,14.106454916265092,0.005023941775526038
21,20.949945224565287,0.006082375861420219
132,12.79383422892169,0.0009827817987052333
162,15.849411030829945,0.007482148908914774
172,16.85859630668321,0.003405354111282336
182,17.946921344283705,0.0035396458221199517
192,18.842761294878514,0.006300221250187788
222,21.767233636343462,0.004554081711843863
232,21.814310937818863,0.03756869940610358
202,19.683436013548846,0.044378706268509246
