index,mean,stdev
2,1.9883456845546768,0.04617128444901345
4,4.015310086433948,0.003987839069503777
6,5.989658362093627,0.007258462385974583
8,7.795066317750286,0.0015042042283026327
9,9.092966906229229,0.010155709877706167
10,9.754786201725356,0.011776447296131363
11,10.849053258474115,0.017653962153336998
12,12.0564361924605,0.006844488228412216
13,13.07678355715226,0.08472091258417057
14,14.130666367545475,0.009094102420026421
15,15.349709603095041,0.15228684840296897
16,15.705548897138419,0.014827396696943716
17,16.9834193661925,0.003911082480212777
18,17.898916250883484,0.031863844096259926
19,18.84946442079122,1.3870031467933471e-05
20,19.654443682007738,0.004110775925907407
21,20.517190638126866,0.0028453911161675236
22,21.918826109432157,0.0067842796112087865
23,22.02853188373569,0.006668870005133257
