index, mean, samples, stdev, tail99
23.0,	8.040213,	108,	1.977842,	12.130000
23.5,	11.017154,	78,	    3.165401,	20.846000
24.0,	19.901214,	42, 	6.243335,	38.992000
24.5,	36.900708,	24, 	17.663635,	74.348000
25.0,	144.797167,	6,  	10.284477,	155.635000
25.5,	210.453500,	4,  	118.770496,	279.571000
26.0,	182.112667,	3,  	0.374622,	182.581000
