index, mean, samples, stdev, tail99
23.0,	0.622875,	1431,	0.272525,	1.308000
23.5,	0.839766,	1059,	0.329793,	1.935000
24.0,	1.522581,	585,	0.629969,	3.433000
24.5,	2.857330,	309,	2.205410,	14.687000
25.0,	10.658143,	84, 	11.602205,	34.033000
25.5,	12.879246,	69, 	11.934628,	34.221000
26.0,	18.535646,	48, 	12.150677,	34.550000
