index, mean, stdev
1,994.8010204081633,71.24201494087824
2,1999.4419889502763,10.588913436079453
3,2999.983425414365,0.4266681674322171
4,3999.277486910995,3.0271832964922463
5,4999.926701570681,1.3123932456999272
6,5997.825870646766,23.271371761135164
7,6997.87064676617,19.322690090099048
8,7998.1469194312795,6.320974450054992
9,8961.253393665158,68.4965834585683
10,8740.65367965368,365.66820940516146
11,10075.454545454546,2341.3044734814553
12,12346.354978354979,3681.462024236449
13,11328.51948051948,3094.381057402011
14,13422.489177489177,4082.44018877246
15,19775.800865800866,2517.6676907483666
16,20456.529880478087,1545.1929810573017
