index, mean, stdev, tail99
0,0.37695144356955385,0.06714715988478791,0.385
1,0.3771857534246575,0.08521758783541779,0.385
2,0.378730237700387,0.08634561133615133,0.386
3,0.3787243272926963,0.0855667079618166,0.389
4,0.37753460116217646,0.08360726551010421,0.385
5,0.3792161868549701,0.08548821976407707,0.389
6,0.38088035614913746,0.08638672504552594,0.392
7,0.38085706638115635,0.0857870877859501,0.395
8,0.37797241752298544,0.08494908471991028,0.384
9,0.3813068493150685,0.08549082195194048,0.389
10,0.38020468154599885,0.08408980812212398,0.389
11,0.38047800108636615,0.08472716656078375,0.39
12,0.38045538128718226,0.08445405933979942,0.388
13,0.38102266445550026,0.08921318766204517,0.393
14,0.38104759329367227,0.08522580896464256,0.392
142,0.3802416254805052,0.08547604744528767,0.391
15,0.37982714681440444,0.0858835198745496,0.385
16,0.40695641497851437,0.11198607710056153,0.666
50,0.673036400404449,0.3252618120837201,1.595
