index, mean, stdev, tail99
0,0.8384237505339599,0.011204053537197117,0.846
1,0.8632130257801901,0.019481109903787833,0.873
2,0.8949200561009817,0.021322227082056607,0.905
3,0.9303515064562411,0.0260884952660847,0.943
4,0.9700807174887891,0.020966827000354356,0.975
5,1.0172857142857143,0.020328420576533054,1.029
6,1.0671390134529146,0.020348608725257625,1.079
7,1.1212808112324493,0.021433329272655628,1.135
8,1.1859623233908947,0.025852834798708774,1.21
9,1.252791469194313,0.0236124071709563,1.271
10,1.2102776203966006,0.045632097979480146,1.267
11,1.2056376604850212,0.04955090706064195,1.577
12,1.392773710482529,0.46712255661964264,3.971
13,1.2735353383458647,0.15077267367510983,2.144
14,1.5313734061930782,0.7320201362501222,4.782
15,4.189412935323384,2.2307396345263175,9.293
16,5.257344632768362,2.022005102031319,9.355
