index, mean, stdev
1,999.7136929460581,2.238149811321184
2,2000.319502074689,0.5327387168698434
3,2999.9253112033193,0.5337396511274844
4,3999.3817427385893,0.8518460988583665
5,4999.290456431535,1.6989965915875964
6,5998.535269709543,1.1118938415193373
7,6996.066390041494,4.8670872624683605
8,7993.958506224067,3.6787970827571255
92,8994.215767634854,6.704423536006345
102,9456.775933609959,127.114838470566
112,9900.43153526971,196.68144221283552
122,10408.69294605809,350.75847442025946
14,18340.07182320442,2012.7693053624855
15,18340.07182320442,2012.7693053624855
75,7493.954356846473,4.354850362732253
85,8331.25925925926,1144.5958236212919
125,14460.845303867403,1068.7681391139654
145,18079.53591160221,2470.154267462651
50,20784.75138121547,914.327714899258

