index,mean,stdev,tail99
0,0.36550683403068335,0.047330147267099366,0.371
1,0.3746265788028556,0.06667587830477613,0.379
2,0.3862105263157895,0.06659713531770485,0.393
3,0.4030199203187251,0.06877459948079932,0.409
4,0.4199567099567099,0.07094187857582446,0.426
5,0.43723177570093463,0.07291019432005169,0.444
6,0.4600638153428378,0.07453317946648608,0.465
7,0.47942609299097844,0.07814793343132036,0.487
8,0.5092860447185813,0.0791794117331823,0.513
9,0.5340423197492163,0.08195731415703582,0.543
10,0.5151890289103039,0.08220990868779177,0.562
11,0.5122729306487696,0.08165756743986308,0.538
12,0.547863819500403,0.14727171789729993,1.176
13,0.6126728232189974,0.22481597338968137,1.441
14,0.6229927073837739,0.3035760338586141,1.895
15,0.6749050949050949,0.3718881326431581,1.989
16,1.8219616438356165,1.3122411921876291,4.999
17,1.2787914338919926,0.7786760174249888,5.588

