index, mean, stdev
1,999.6850828729282,0.5205698309863748
2,1999.878453038674,5.610431270711258
3,2997.254143646409,24.821607655168126
4,3999.5690607734805,0.682806769667945
5,4999.154696132597,3.3913022550360603
6,5995.265193370165,27.613079485350152
7,6998.226519337017,9.249671550740997
8,7990.690607734807,18.42180338517785
9,8995.491712707182,13.541268530688892
10,9972.60773480663,15.25169117898652
11,10827.011049723757,51.0733400684634
12,11643.618784530387,83.80359491137355
13,12373.674033149171,162.03061861858563
14,13091.569060773481,235.71007552870475
142,17427.24861878453,480.524965070602
15,16143.281767955801,478.2341172303187
16,19716.342541436465,1053.843685040442
50,21574.18232044199,947.5485992679879
