index,mean,stdev
1,999.7182320441989,0.5183368763904493
2,2000.1381215469614,2.5201365407694407
3,2999.0,12.904665309117144
4,3999.696132596685,0.8286556136686264
5,4999.3370165745855,9.132070253851106
6,5999.618784530387,1.8843586076998784
7,6996.022099447514,14.383444980774671
8,7995.8950276243095,31.261948480369746
9,8933.629834254143,99.33875851937864
10,8744.839779005524,357.3757664106937
11,9023.06629834254,703.9537089424358
12,11683.491712707182,3058.7126306852756
13,12616.381215469613,2843.347693000902
14,13186.325966850829,3807.161711440759
15,13992.055248618784,3938.788557515495
16,20545.18232044199,1877.18041910608
17,18475.022099447513,2530.889064750794
