index, mean, samples, stdev, tail99
23.0,	5.6935500,  	120,	0.7173885,	7.3030000
23.5,	6.5022745,  	102,	1.0030929,	9.5180000
24.0,	6.2759009,  	111,	0.9553953,	8.7210000
24.5,	28.4344286, 	21, 	7.3963939,	36.1400000
25.0,	37.2354000, 	15, 	14.3175345,	56.2830000
25.5,	60.7503333, 	3,  	0.6042165,	61.4880000
26.0,	184.3630000,	3,  	0.1838822,	184.5500000
